Maker,Bean_Origin/Bar_Name,Review_Year,Cocoa_Pct,Maker_Location,Rating,Bean_Type,Bean_Origin
Middlebury,Alto Beni,2012,0.75,U.S.A.,2,Criollo,Bolivia
Oialla by Bojessen (Malmo),"Sylvestre, Oialla",2011,0.7,Germany,3.5,Criollo,Bolivia
Rogue,"Silvestre, Batch 1, 2011",2011,0.75,U.S.A.,3,Criollo,Bolivia
Sprungli (Felchlin),Alto Beni,2013,0.7,Switzerland,3,Criollo,Bolivia
Tocoti,"Wild Bolivian, Jungle Love",2012,0.77,U.S.A.,3,Criollo,Bolivia
Felchlin,"Alto Beni, Cru Savage",2006,0.68,Switzerland,4,Criollo,Bolivia
Hummingbird,Bolivia,2014,0.7,Canada,3,Criollo,Bolivia
Hummingbird,"Bolivia, Bo-nib-ia, w/ nibs",2014,0.7,Canada,3,Criollo,Bolivia
Soma,"Alto Beni, Wild Bolivian",2011,0.7,Canada,3.5,Nacional,Bolivia
Castronovo,Bolivia,2013,0.7,U.S.A.,3,Trinitario,Bolivia
Akesson's (Pralus),"Monte Alegre, D. Badero",2010,0.75,Switzerland,2.75,Forastero,Brazil
K'ul,"Bahia, Fazenda Camboa",2016,0.7,U.S.A.,3.75,Forastero,Brazil
Pierre Marcolini,"Bahia Brazil, Fazenda Sao Pedro",2009,0.72,Belgium,3,Forastero,Brazil
Pralus,"Monte Alegre (Itacare), Brazil",2006,0.75,France,3,Forastero,Brazil
Salgado,Bahia Superior,2008,0.7,Argentina,3.5,Forastero,Brazil
AMMA,Catongo,2013,0.75,Brazil,3.25,Forastero ,Brazil
Lajedo do Ouro,Catongo,2012,0.7,Brazil,3.5,Forastero ,Brazil
AMMA,"Monte Alegre, 3 diff. plantations",2010,0.85,Brazil,2.75,Forastero ,Brazil
AMMA,"Monte Alegre, 3 diff. plantations",2010,0.5,Brazil,3.75,Forastero ,Brazil
AMMA,"Monte Alegre, 3 diff. plantations",2010,0.75,Brazil,3.75,Forastero ,Brazil
AMMA,"Monte Alegre, 3 diff. plantations",2010,0.6,Brazil,4,Forastero ,Brazil
Mission,"Bahia, Fazenda Venturosa",2015,0.7,Brazil,3.5,Forastero ,Brazil
Soma,"Bahia Black, batch bra50722.1",2016,0.7,Canada,3.5,Forastero ,Brazil
Szanto Tibor,"Fazenda Sempre Firme, Bahia",2015,0.7,Hungary,3.5,Forastero ,Brazil
Tejas,"Bahia, Floresta Azul,Good Friends Reserve#3",2012,0.7,U.S.A.,3.5,Forastero ,Brazil
Cao,Brazil,2016,0.7,U.S.A.,3.25,Trinitario,Brazil
Cravve,"Bahia, batch a1213",2012,0.65,Australia,3.25,Trinitario,Brazil
Silvio Bessone,"Bahia, Scavina",2011,0.6,Italy,3.25,Trinitario,Brazil
Stella (aka Bernrain),"Bahia, Agri-Forestal Plantation, 2010",2012,0.68,Switzerland,2.75,Trinitario,Brazil
Nugali,Fazenda Leolinda,2016,0.7,Brazil,3.5,Trinitario,Brazil
Glennmade,Bahia,2015,0.66,U.S.A.,3,Trinitario,Brazil
Pierre Marcolini,"Haut Penja, w/ nibs",2015,0.7,Belgium,3.25,Forastero,Cameroon
Scharffen Berger,Antilles (Trin/Gren/DR/Ven),2007,0.75,U.S.A.,3,Blend,Dominican Republic
Bonnat,Trinite,2006,0.75,France,3.75,Trinitario,Dominican Republic
Valrhona,Caraibe,2006,0.66,France,3,Trinitario,Dominican Republic
Carlotta Chocolat,Cesar,2016,0.65,Colombia,3.5,CCN51,Colombia
Castronovo,Sierra Nevada,2014,0.72,U.S.A.,3.5,Criollo,Colombia
Castronovo,Arauca,2014,0.76,U.S.A.,3.5,Criollo,Colombia
Dormouse,"Colombia, Batch 9",2015,0.8,U.K.,2.75,Criollo,Colombia
Silvio Bessone,"Porcelana, Colombia, Amazonas",2011,0.68,Italy,3,Criollo,Colombia
Santander (Compania Nacional),Colombian 2008,2009,0.75,Colombia,2.75,Forastero ,Colombia
Santander (Compania Nacional),Colombian w/ nibs,2009,0.7,Colombia,3,Forastero ,Colombia
Santander (Compania Nacional),Colombian Semi Dark,2006,0.53,Colombia,2,Forastero ,Colombia
Santander (Compania Nacional),Colombian,2006,0.65,Colombia,3,Forastero ,Colombia
Santander (Compania Nacional),Colombian Dark,2006,0.7,Colombia,4,Forastero ,Colombia
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",2013,0.72,U.K.,2.75,Trinitario,Colombia
Carlotta Chocolat,Arauca,2016,0.65,Colombia,3,Trinitario,Colombia
Carlotta Chocolat,Tumaco,2016,0.65,Colombia,3.25,Trinitario,Colombia
Carlotta Chocolat,Cordoba,2016,0.65,Colombia,3.25,Trinitario,Colombia
Carlotta Chocolat,Huila,2016,0.65,Colombia,3.5,Trinitario,Colombia
Guittard,Chucuri,2006,0.65,U.S.A.,3,Trinitario,Colombia
Pralus,Colombie,2006,0.75,France,3.5,Trinitario,Colombia
Willie's Cacao,Los Llanos,2014,0.88,U.K.,3,Trinitario,Colombia
Cacao Sampaka,"Mahali, Kasai",2016,0.7,Spain,3.5,Criollo,Congo
Artisan du Chocolat,Congo,2008,0.72,U.K.,3.75,Forastero,Congo
Blanxart,"Congo, Grand Cru",2013,0.82,Spain,3.5,Forastero,Congo
Chocolate Makers,"Congo, Gorilla bar",2015,0.68,Netherlands,3.5,Forastero,Congo
Ocelot,Virunga,2015,0.7,Scotland,3.75,Forastero,Congo
Original Beans (Felchlin),"D.R. Congo, Cru Virunga",2009,0.7,Switzerland,3,Forastero,Congo
Raaka,Virunga,2015,0.75,U.S.A.,2.75,Forastero,Congo
Theo,Congo w/ nibs,2012,0.65,U.S.A.,3.25,Forastero,Congo
Zotter,"Kongo, Highlands",2012,0.68,Austria,3.25,Forastero,Congo
Zotter,Congo,2011,0.65,Austria,3,Forastero,Congo
Fruition,"Coto Brus, Heirloom, Batch 1",2016,0.74,U.S.A.,4,Amazon mix,Costa Rica
Heirloom Cacao Preservation (Fruition),"Cota Brus, Terciopelo, 2015",2016,0.74,U.S.A.,3.5,Amazon mix,Costa Rica
Caribeans,Costa Rica,2012,0.72,Costa Rica,3,Forastero,Costa Rica
Caribeans,Costa Rica,2012,0.8,Costa Rica,2.75,Forastero,Costa Rica
Potomac,Upala w/ nibs,2011,0.7,U.S.A.,3.5,Matina,Costa Rica
Potomac,"Upala, Batch 18",2011,0.7,U.S.A.,3,Matina,Costa Rica
Potomac,"Upala, Batch 12",2010,0.82,U.S.A.,3.75,Matina,Costa Rica
DeVries,Costa Rica,2007,0.77,U.S.A.,3.5,Trinitario,Costa Rica
Fruition,Signature Blend,2011,0.66,U.S.A.,3.25,Trinitario,Costa Rica
Maglio,Cuba,2008,0.7,Italy,3.25,Criollo,Cuba
Pierre Marcolini,"Baracoa, Cuba",2010,0.78,Belgium,3.75,Criollo,Cuba
Benoit Nihant,Baracoa,2013,0.74,Belgium,3.5,Trinitario,Cuba
Bonnat,Cuba,2011,0.75,France,3.5,Trinitario,Cuba
Pralus,Cuba,2006,0.75,France,3,Trinitario,Cuba
Szanto Tibor,Baracoa,2015,0.88,Hungary,3.25,Trinitario,Cuba
Szanto Tibor,Baracoa,2014,0.7,Hungary,3.75,Trinitario,Cuba
Castronovo,"Duarte, Batch 360",2015,0.7,U.S.A.,3.75,Criollo,Dominican Republic
Georgia Ramon,Conacado Coop,2015,0.7,Germany,3.5,Trinitario,Dominican Republic
Georgia Ramon,Conacado Coop,2015,0.8,Germany,3.5,Trinitario,Dominican Republic
Hogarth,Conacado,2016,0.75,New Zealand,3.25,Trinitario,Dominican Republic
Maglio,Santo Domingo,2008,0.7,Italy,3.75,Blend,Dominican Republic
Cacao Prieto,"Criollo, Dominican Republic",2012,0.72,U.S.A.,3.75,Criollo,Dominican Republic
Map Chocolate,"ROIG, 2014",2015,0.7,U.S.A.,3.5,Criollo,Dominican Republic
Shark Mountain,ROIG,2015,0.74,U.S.A.,3.5,Criollo,Dominican Republic
Soma,"Elvesia P., Black Science",2011,0.7,Canada,3.75,Forastero,Dominican Republic
Soma,Hispaniola,2009,0.7,Canada,3,Forastero,Dominican Republic
Altus aka Cao Artisan,Conacado,2013,0.6,U.S.A.,3,Trinitario,Dominican Republic
Artisan du Chocolat,Dominican Republic,2009,0.72,U.K.,3.25,Trinitario,Dominican Republic
Brasstown aka It's Chocolate,Cooproagro,2013,0.72,U.S.A.,3,Trinitario,Dominican Republic
Castronovo,Elvesia P.,2014,0.7,U.S.A.,2.75,Trinitario,Dominican Republic
Castronovo,Conacado,2013,0.73,U.S.A.,3.5,Trinitario,Dominican Republic
Chocolate Makers,Tres Hombres,2015,0.75,Netherlands,3.25,Trinitario,Dominican Republic
Hummingbird,Hispaniola,2014,0.7,Canada,3.75,Trinitario,Dominican Republic
Kiskadee,"La Red, Guanconjeco",2014,0.6,U.S.A.,3,Trinitario,Dominican Republic
Nibble,Elvesia P.,2015,0.72,U.S.A.,2.75,Trinitario,Dominican Republic
Soma,"Rizek Cacao, Domin. Rep.",2013,0.77,Canada,3.75,Trinitario,Dominican Republic
Soma,Conacado,2009,0.7,Canada,3,Trinitario,Dominican Republic
Wellington Chocolate Factory,Conacado,2016,0.7,New Zealand,3.5,Trinitario,Dominican Republic
Felchlin,Elvesia P.,2006,0.74,Switzerland,3,Trinitario,Dominican Republic
"Smooth Chocolator, The","Porcelana, Sorotaima,Machiques,batch pcl001",2016,0.7,Australia,4,Criollo,Ecuador
Pralus,Fortissima,2006,0.8,France,4,Criollo,Ecuador
Heirloom Cacao Preservation (Guittard),"Los Rios, Hacienda Limon, Orecao, 2014",2014,0.67,U.S.A.,3.75,EET,Ecuador
Heirloom Cacao Preservation (Millcreek),"Los Rios, Hacienda Limon, Orecao, 2015",2016,0.7,U.S.A.,3.5,EET,Ecuador
Heirloom Cacao Preservation (Mindo),"Pinchincha, Mindo, Coop Nueva Esper., 2015",2016,0.77,U.S.A.,3.5,EET,Ecuador
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,0.55,Ecuador,2.75,Forastero ,Ecuador
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,0.7,Ecuador,3,Forastero ,Ecuador
Askinosie,San Jose del Tambo,2007,0.7,U.S.A.,3,Forastero ,Ecuador
Bonnat,Equateur,2007,0.75,France,2.5,Forastero ,Ecuador
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,0.77,Ecuador,3.25,Forastero ,Ecuador
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,1,Ecuador,1.5,Forastero ,Ecuador
Cacaoyere (Ecuatoriana),Amazonia,2008,0.63,Ecuador,3.5,Forastero ,Ecuador
Cacaoyere (Ecuatoriana),Esmeraldas,2008,0.71,Ecuador,3.5,Forastero ,Ecuador
Cacaoyere (Ecuatoriana),Bolivar,2008,0.82,Ecuador,2.5,Forastero ,Ecuador
Cacaoyere (Ecuatoriana),Pichincha,2008,0.91,Ecuador,1.5,Forastero ,Ecuador
Caoni (Tulicorp),Esmeraldas,2008,0.77,Ecuador,2,Forastero ,Ecuador
Caoni (Tulicorp),Manabi,2008,0.77,Ecuador,2.5,Forastero ,Ecuador
Caoni (Tulicorp),Los Rios,2008,0.77,Ecuador,2.75,Forastero ,Ecuador
Caoni (Tulicorp),Manabi,2008,0.55,Ecuador,3,Forastero ,Ecuador
Caoni (Tulicorp),Los Rios,2008,0.55,Ecuador,3.25,Forastero ,Ecuador
Caoni (Tulicorp),Esmeraldas,2008,0.55,Ecuador,3.5,Forastero ,Ecuador
Chchukululu (Tulicorp),Arriba,2010,0.55,Ecuador,2.75,Forastero ,Ecuador
Chchukululu (Tulicorp),Los Rios,2008,0.75,Ecuador,3,Forastero ,Ecuador
"Chocolate Tree, The",Ecuador,2012,0.82,Scotland,2.5,Forastero ,Ecuador
Chocovic,"Bolivar, Guaranda",2007,0.71,Spain,2.5,Forastero ,Ecuador
Domori,Ecuador,2007,0.7,Italy,4,Forastero ,Ecuador
Felchlin,Arriba,2006,0.72,Switzerland,3.5,Forastero ,Ecuador
Guittard,"Los Rios, Quevedo",2006,0.65,U.S.A.,3.5,Forastero ,Ecuador
Hachez,Arriba,2007,0.77,Germany,2.5,Forastero ,Ecuador
Pacari,Esmeraldas,2008,0.6,Ecuador,2.5,Forastero ,Ecuador
Pacari,Manabi,2008,0.65,Ecuador,2.75,Forastero ,Ecuador
Pacari,Los Rios,2008,0.72,Ecuador,3,Forastero ,Ecuador
Pacari,Raw,2008,1,Ecuador,2,Forastero ,Ecuador
Pacari,Raw,2008,0.7,Ecuador,3.5,Forastero ,Ecuador
Republica del Cacao (aka Confecta),"Los Rios, Vinces",2009,0.75,Ecuador,2.5,Forastero ,Ecuador
Republica del Cacao (aka Confecta),Manabi,2007,0.75,Ecuador,3,Forastero ,Ecuador
Republica del Cacao (aka Confecta),El Oro,2007,0.67,Ecuador,3.5,Forastero ,Ecuador
Republica del Cacao (aka Confecta),Los Rios,2007,0.75,Ecuador,3.75,Forastero ,Ecuador
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",2007,1,U.S.A.,2,Forastero ,Ecuador
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",2007,0.9,U.S.A.,2,Forastero ,Ecuador
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",2007,0.75,U.S.A.,3,Forastero ,Ecuador
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2007",2007,0.65,U.S.A.,3,Forastero ,Ecuador
Guido Castagna,Arriba,2009,0.64,Italy,3,Forastero ,Ecuador
Hoja Verde (Tulicorp),Arriba,2009,0.8,Ecuador,2,Forastero ,Ecuador
Hoja Verde (Tulicorp),Manabi,2009,0.8,Ecuador,2.5,Forastero ,Ecuador
Hoja Verde (Tulicorp),Arriba,2009,0.72,Ecuador,3,Forastero ,Ecuador
Hoja Verde (Tulicorp),Arriba,2009,0.58,Ecuador,3.25,Forastero ,Ecuador
Hoja Verde (Tulicorp),Manabi,2009,0.58,Ecuador,3.5,Forastero ,Ecuador
Salgado,Rio Arriba,2008,0.7,Argentina,3.5,Forastero ,Ecuador
Alexandre,"Winak Coop, Napo",2017,0.7,Netherlands,3.5,Forastero ,Ecuador
Arete,"Puerto Quito, heirloom",2015,0.7,U.S.A.,3.75,Forastero ,Ecuador
Compania de Chocolate (Salgado),Esmeraldas,2008,0.88,Argentina,2.75,Forastero ,Ecuador
Coppeneur,"Ecuador, Puristique",2013,0.65,Germany,3.25,Forastero ,Ecuador
Creo,"""heirloom"", Arriba Nacional",2016,0.85,U.S.A.,3.25,Forastero ,Ecuador
Creo,"""heirloom"", Arriba Nacional",2016,0.73,U.S.A.,3.75,Forastero ,Ecuador
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara",2013,0.9,U.K.,3,Forastero ,Ecuador
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012",2013,0.82,U.K.,3.5,Forastero ,Ecuador
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012, 120hr c.",2013,1,U.K.,2.5,Forastero ,Ecuador
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 96hr c.",2011,0.8,U.K.,3,Forastero ,Ecuador
Maglio,Ecuador,2008,0.7,Italy,3,Forastero ,Ecuador
Millcreek Cacao Roasters,Ecuador,2013,0.7,U.S.A.,2.5,Forastero ,Ecuador
Nova Monda,"Punta Galera, cacao Nacional, gold label",2012,0.8,Nicaragua,3.25,Forastero ,Ecuador
Pierre Marcolini,"Los Rios, Puerto Romero, Equateur",2007,0.72,Belgium,3.75,Forastero ,Ecuador
Pump Street Bakery,Guantupi River,2014,0.75,U.K.,3,Forastero ,Ecuador
Pump Street Bakery,Guantupi River,2014,0.85,U.K.,2.75,Forastero ,Ecuador
Salgado,Esmeraldas,2008,0.7,Argentina,3.5,Forastero ,Ecuador
Soma,"Camino Verde P., Balao, Guayas",2014,0.8,Canada,3.5,Forastero ,Ecuador
Starchild,"Bolivar, Arriba",2015,0.7,U.S.A.,3,Forastero ,Ecuador
Szanto Tibor,"Winak, Sumaco",2015,0.7,Hungary,3.75,Forastero ,Ecuador
To'ak (Ecuatoriana),Manabi,2014,0.81,Ecuador,3.25,Forastero ,Ecuador
Zotter,El Oro,2012,0.75,Austria,3,Forastero ,Ecuador
Rancho San Jacinto,Ecuador,2010,0.75,Ecuador,3,Forastero ,Ecuador
Coppeneur,"Los Rios, H. Iara",2010,0.72,Germany,2.5,Nacional,Ecuador
Ritual,"Camino Verde P., 2012, Balao, Guayas",2012,0.75,U.S.A.,3.25,Nacional ,Ecuador
Rogue,"Camino Verde P., Balao, Guayas",2012,0.75,U.S.A.,3.75,Nacional ,Ecuador
Zart Pralinen,UNOCACE,2016,0.7,Austria,2.75,Nacional ,Ecuador
Amedei,Ecuador,2007,0.7,Italy,3,Trinitario,Ecuador
Benoit Nihant,Rio Peripa H.,2013,0.73,Belgium,4,Trinitario,Ecuador
Hacienda El Castillo,Don Homero- Cerecita Valley,2014,0.55,Ecuador,2.75,Trinitario,Ecuador
Hacienda El Castillo,Don Homero- Cerecita Valley,2014,0.7,Ecuador,3,Trinitario,Ecuador
Map Chocolate,Ecuador,2015,0.7,U.S.A.,3.5,Trinitario,Ecuador
Nuance,"Ecuador, 2013",2015,0.7,U.S.A.,2.75,Trinitario,Ecuador
organicfair,Mindo,2013,0.72,Canada,3,Trinitario,Ecuador
Pralus,Equateur,2006,0.75,France,3,Trinitario,Ecuador
Shark Mountain,Ecuador,2014,0.75,U.S.A.,3,Trinitario,Ecuador
Adi,Vanua Levu,2011,0.6,Fiji,2.75,Trinitario,Fiji
Adi,"Vanua Levu, Toto-A",2011,0.8,Fiji,3.25,Trinitario,Fiji
Adi,Vanua Levu,2011,0.88,Fiji,3.5,Trinitario,Fiji
Adi,"Vanua Levu, Ami-Ami-CA",2011,0.72,Fiji,3.5,Trinitario,Fiji
Cravve,"Namau Village, N. Taileva P., batch a2812",2012,0.67,Australia,3.25,Trinitario,Fiji
Pitch Dark,Namau Village,2014,0.73,U.S.A.,2.5,Trinitario,Fiji
Amatller (Simon Coll),Ghana,2009,0.7,Spain,3,Forastero,Ghana
Amatller (Simon Coll),Ghana,2009,0.85,Spain,3,Forastero,Ghana
Bittersweet Origins,Ghana,2012,0.72,U.S.A.,3.5,Forastero,Ghana
Bittersweet Origins,Ankasa,2008,0.7,U.S.A.,3,Forastero,Ghana
Brasstown aka It's Chocolate,Ghana,2013,0.75,U.S.A.,3.5,Forastero,Ghana
Coppeneur,Ghana Puristique,2012,0.85,Germany,3.5,Forastero,Ghana
Davis,Ghana,2013,0.7,U.S.A.,2.5,Forastero,Ghana
Dean and Deluca (Belcolade),Ghana,2007,0.6,U.S.A.,3,Forastero,Ghana
Frederic Blondeel,Ghana,2014,0.6,Belgium,3.5,Forastero,Ghana
Fresco,"Ghana, #211, MR, MC",2011,0.74,U.S.A.,2.75,Forastero,Ghana
Georgia Ramon,ABOCFA Coop,2015,0.7,Germany,4,Forastero,Ghana
Guido Castagna,Ghana,2009,0.64,Italy,3,Forastero,Ghana
La Maison du Chocolat (Valrhona),Akosombo,2009,0.68,France,3.25,Forastero,Ghana
Manufaktura Czekolady,Grand Cru Ghana,2012,0.7,Poland,3.5,Forastero,Ghana
Mars,"Ghana, prototype",2010,0.65,U.S.A.,3.5,Forastero,Ghana
Nathan Miller,Ghana,2014,0.7,U.S.A.,3.5,Forastero,Ghana
Noble Bean aka Jerjobo,Ghana,2014,0.75,U.S.A.,3,Forastero,Ghana
Nuance,"Ghana, 2013",2015,0.7,U.S.A.,3.75,Forastero,Ghana
Olive and Sinclair,Ghana prototype,2010,0.72,U.S.A.,3,Forastero,Ghana
Omanhene,Ghana,2011,0.8,Ghana,2.75,Forastero,Ghana
Pralus,Ghana,2006,0.75,France,3.25,Forastero,Ghana
Scharffen Berger,Asante,2009,0.65,U.S.A.,4,Forastero,Ghana
Sjolinds,Ghana,2015,0.7,U.S.A.,2.75,Forastero,Ghana
Snake & Butterfly,Ghana,2011,0.67,U.S.A.,1.5,Forastero,Ghana
Soma,Africa,2009,0.7,Canada,3.5,Forastero,Ghana
TCHO,Chocolatey-beta,2008,0.7,U.S.A.,2.5,Forastero,Ghana
Theo,"Ghana, Kumasi",2007,0.84,U.S.A.,3,Forastero,Ghana
Valrhona,Nyangbo,2009,0.68,France,3.5,Forastero,Ghana
Vanleer (Barry Callebaut),Manhattan,2012,0.72,U.S.A.,2.5,Forastero,Ghana
Vanleer (Barry Callebaut),Napa,2012,0.65,U.S.A.,2.75,Forastero,Ghana
Whittakers,Ghana,2011,0.72,New Zealand,2.5,Forastero,Ghana
Jacque Torres,Trinatario Treasure,2006,0.71,U.S.A.,2,Trinitario,Ghana
Amedei,Grenada,2007,0.7,Italy,3.5,Trinitario,Grenada
Cacao Sampaka,Grenada,2010,0.71,Spain,3.25,Trinitario,Grenada
Callebaut,Grenade,2008,0.6,Belgium,2.75,Trinitario,Grenada
Chocovic,Guyave,2007,0.71,Spain,2.5,Trinitario,Grenada
Coppeneur,Grenada,2010,0.72,Germany,3.25,Trinitario,Grenada
